MLS#,Province,Region,City,Subdivision,Street,Address,Property Type,Date Listed,Price,Beds,Baths,Total_Sqft,Bedroom_Sqm,Dining_Sqm,Living_Sqm,Kitchen_Sqm,Cooling,Heating,Parking,Basement,Amenities,Features,Exterior Features,Street_City,LatLong,Latitude,Longitude
W5499838,ON,Toronto,Toronto,,1159 Roselawn Ave,"1159 Roselawn Ave, Toronto, ON",Single Family,2022-02-12,999800,4 bed,2 bath,,10.38,0.0,21.2,11.48,,Baseboard heaters,,"Finished, N/A (Finished)",,,,"1159 Roselawn Ave , Toronto","(43.69952182, -79.45334902)",43.69952182,-79.45334902
W5499502,ON,Toronto,Toronto,,60 Chamberlain Ave,"60 Chamberlain Ave, Toronto, ON",Single Family,2022-02-12,1199000,4 bed,2 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,N/A,,,,"60 Chamberlain Ave , Toronto","(43.696980912499995, -79.4574691375)",43.696980912499995,-79.4574691375
W5499570,ON,Toronto,Toronto,,1185 The Queensway,"1201 - 1185 The Queensway, Toronto, ON",Condo,2022-02-12,549000,1 bed,1 bath,,0.0,16.74,16.74,5.95,Central air conditioning,Forced air,Visitor parking,,,Balcony,,"1185 The Queensway , Toronto","(43.6255494, -79.5063915)",43.6255494,-79.5063915
W5499574,ON,Toronto,Toronto,,2980 Weston Rd,"2980 Weston Rd, Toronto, ON",Single Family,2022-02-12,1299000,5 bed,4 bath,,13.71,12.91,13.4,11.27,Central air conditioning,Forced air,Attached garage,"Finished, N/A (Finished)",,Ravine,,"2980 Weston Rd , Toronto","(43.7268748433373, -79.5357667793995)",43.7268748433373,-79.5357667793995
W5499667,ON,Toronto,Toronto,,135 Marlee Ave,"1501 - 135 Marlee Ave, Toronto, ON",Condo,2022-02-12,699000,3 bed,2 bath,,13.7,7.84,22.75,10.44,Central air conditioning,Forced air,,,,Balcony,,"135 Marlee Ave , Toronto","(43.70204475, -79.44065639562022)",43.70204475,-79.44065639562022
C5499666,ON,Toronto,Toronto,,71 Jonesville Cres,"410 - 71 Jonesville Cres, Toronto, ON",Condo,2022-02-12,439900,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Radiant heat,Visitor parking,,,Balcony,,"71 Jonesville Cres , Toronto","(43.7247554, -79.3078131)",43.7247554,-79.3078131
W5499702,ON,Toronto,Toronto,,6 Fairhaven Dr,"6 Fairhaven Dr, Toronto, ON",Single Family,2022-02-12,2199000,5 bed,3 bath,,14.48,20.14,31.85,13.67,Central air conditioning,Forced air,Garage,"N/A (Finished), Finished",,,,"6 Fairhaven Dr , Toronto","(43.7011688, -79.54470396666667)",43.7011688,-79.54470396666667
W5499247,ON,Toronto,Toronto,,18 Charleston Rd,"18 Charleston Rd, Toronto, ON",Single Family,2022-02-11,2995000,4 + 1 bed,5 bath,,0.0,0.0,0.0,0.0,,Forced Air,,,,,,"18 Charleston Rd , Toronto","(43.640526, -79.5472168422619)",43.640526,-79.5472168422619
C5498933,ON,Toronto,Toronto,,225 Sumach St,"701 - 225 Sumach St, Toronto, ON",Condo,2022-02-11,629900,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"225 Sumach St , Toronto","(43.661552689971494, -79.36068945740462)",43.661552689971494,-79.36068945740462
C5498904,ON,Toronto,Toronto,,55 Ontario St,"315 - 55 Ontario St, Toronto, ON",Condo,2022-02-11,554900,1 bed,1 bath,,9.31,16.32,16.32,16.32,Central air conditioning,Heat Pump,Visitor parking,,,,,"55 Ontario St , Toronto","(43.653071, -79.36622946153847)",43.653071,-79.36622946153847
W5498276,ON,Toronto,Toronto,,1 Stanmills Rd,"1 Stanmills Rd, Toronto, ON",Single Family,2022-02-11,1499000,3 bed,4 bath,,9.28,27.36,11.9,27.36,Central air conditioning,Forced air,Detached garage,"Finished, N/A (Finished)",,,,"1 Stanmills Rd , Toronto","(43.624515, -79.5154061)",43.624515,-79.5154061
C5498612,ON,Toronto,Toronto,,2 Sonic Way,"2004 - 2 Sonic Way, Toronto, ON",Condo,2022-02-11,499000,1 bed,1 bath,,0.0,0.0,9.79,7.95,Central air conditioning,Forced air,Visitor parking,,,Balcony,,"2 Sonic Way , Toronto","(nan, nan)",,
E5499323,ON,Toronto,Toronto,,140 Broadview Ave,"46 - 140 Broadview Ave, Toronto, ON",Townhome,2022-02-11,549900,1 bed,1 bath,,0.0,0.0,9.79,5.64,Central air conditioning,Forced air,Underground,,Storage - Locker,,,"140 Broadview Ave , Toronto","(43.659895564705884, -79.35045876470588)",43.659895564705884,-79.35045876470588
E5499323,ON,Toronto,Toronto,,140 Broadview Ave,"46 - 140 Broadview Ave, Toronto, ON",Townhome,2022-02-11,549900,1 bed,1 bath,,0.0,0.0,9.79,5.64,Central air conditioning,Forced air,Underground,,Storage - Locker,,,"140 Broadview Ave , Toronto","(43.659895564705884, -79.35045876470588)",43.659895564705884,-79.35045876470588
W5499297,ON,Toronto,Toronto,,330 Dixon Rd,"808 - 330 Dixon Rd, Toronto, ON",Condo,2022-02-11,379900,1 bed,1 bath,,0.0,5.6,0.0,5.6,,Water,,,,,,"330 Dixon Rd , Toronto","(43.69597315, -79.55305553555787)",43.69597315,-79.55305553555787
W5499297,ON,Toronto,Toronto,,330 Dixon Rd,"808 - 330 Dixon Rd, Toronto, ON",Condo,2022-02-11,379900,1 bed,1 bath,,0.0,5.6,0.0,5.6,,Water,,,,,,"330 Dixon Rd , Toronto","(43.69597315, -79.55305553555787)",43.69597315,-79.55305553555787
C5498725,ON,Toronto,Toronto,,25 Cole St,"1602 - 25 Cole St, Toronto, ON",Condo,2022-02-11,498888,1 bed,1 bath,,7.75,5.03,19.43,11.52,Central air conditioning,Forced air,Underground,,,Balcony,,"25 Cole St , Toronto","(43.660114750000005, -79.36501570215088)",43.660114750000005,-79.36501570215088
C5498368,ON,Toronto,Toronto,,106 Dovercourt Rd,"512 - 106 Dovercourt Rd, Toronto, ON",Condo,2022-02-11,699000,1 bed,1 bath,,0.0,220.0,220.0,9.0,,Forced Air,,,,,,"106 Dovercourt Rd , Toronto","(43.6430602, -79.4223976)",43.6430602,-79.4223976
C5498557,ON,Toronto,Toronto,,1239 Dundas St W,"304 - 1239 Dundas St W, Toronto, ON",Condo,2022-02-11,599000,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"1239 Dundas St W , Toronto","(43.64927384, -79.42358954)",43.64927384,-79.42358954
E5498783,ON,Toronto,Toronto,,20 Four Oaks Gate,"20 Four Oaks Gate, Toronto, ON",Single Family,2022-02-11,1199000,3 bed,2 bath,,11.12,14.94,24.34,10.31,Central air conditioning,Forced air,Attached garage,"N/A (Finished), Finished",,Ravine,,"20 Four Oaks Gate , Toronto","(43.697324996763, -79.33918138471456)",43.697324996763,-79.33918138471456
C5499483,ON,Toronto,Toronto,,115 Blue Jays Way,"1912 - 115 Blue Jays Way, Toronto, ON",Condo,2022-02-11,559900,0 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"115 Blue Jays Way , Toronto","(43.645507499999994, -79.3919735)",43.645507499999994,-79.3919735
C5499483,ON,Toronto,Toronto,,115 Blue Jays Way,"1912 - 115 Blue Jays Way, Toronto, ON",Condo,2022-02-11,559900,0 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"115 Blue Jays Way , Toronto","(43.645507499999994, -79.3919735)",43.645507499999994,-79.3919735
C5499626,ON,Toronto,Toronto,,297 College St,"503 - 297 College St, Toronto, ON",Condo,2022-02-11,850000,3 bed,2 bath,,8.42,0.0,23.64,23.64,Central air conditioning,Forced air,,,,,,"297 College St , Toronto","(43.657515593333336, -79.40141345333333)",43.657515593333336,-79.40141345333333
C5499626,ON,Toronto,Toronto,,297 College St,"503 - 297 College St, Toronto, ON",Condo,2022-02-11,850000,3 bed,2 bath,,8.42,0.0,23.64,23.64,Central air conditioning,Forced air,,,,,,"297 College St , Toronto","(43.657515593333336, -79.40141345333333)",43.657515593333336,-79.40141345333333
C5498335,ON,Toronto,Toronto,,11 Thorncliffe Park Dr,"303 - 11 Thorncliffe Park Dr, Toronto, ON",Condo,2022-02-11,495000,2 bed,1 bath,,12.19,23.96,23.96,8.35,Central air conditioning,Forced air,Underground,,,Wooded area,,"11 Thorncliffe Park Dr , Toronto","(43.7042977, -79.3487262)",43.7042977,-79.3487262
C5498335,ON,Toronto,Toronto,,11 Thorncliffe Park Dr,"303 - 11 Thorncliffe Park Dr, Toronto, ON",Condo,2022-02-11,495000,2 bed,1 bath,,12.19,23.96,23.96,8.35,Central air conditioning,Forced air,Underground,,,Wooded area,,"11 Thorncliffe Park Dr , Toronto","(43.7042977, -79.3487262)",43.7042977,-79.3487262
C5499268,ON,Toronto,Toronto,,87 Peter St,"3302 - 87 Peter St, Toronto, ON",Condo,2022-02-11,990000,2 bed,2 bath,,7.43,16.57,9.12,17.07,Central air conditioning,Forced air,Underground,,,Balcony,,"87 Peter St , Toronto","(43.6468429, -79.3924735)",43.6468429,-79.3924735
C5499268,ON,Toronto,Toronto,,87 Peter St,"3302 - 87 Peter St, Toronto, ON",Condo,2022-02-11,990000,2 bed,2 bath,,7.43,16.57,9.12,17.07,Central air conditioning,Forced air,Underground,,,Balcony,,"87 Peter St , Toronto","(43.6468429, -79.3924735)",43.6468429,-79.3924735
C5498243,ON,Toronto,Toronto,,15 Grenville St,"5009 - 15 Grenville St, Toronto, ON",Condo,2022-02-11,799900,2 bed,1 bath,,7.83,0.0,0.0,0.0,,Forced Air,,,,,,"15 Grenville St , Toronto","(43.661820727272726, -79.38441163636364)",43.661820727272726,-79.38441163636364
C5498243,ON,Toronto,Toronto,,15 Grenville St,"5009 - 15 Grenville St, Toronto, ON",Condo,2022-02-11,799900,2 bed,1 bath,,7.83,0.0,0.0,0.0,,Forced Air,,,,,,"15 Grenville St , Toronto","(43.661820727272726, -79.38441163636364)",43.661820727272726,-79.38441163636364
W5498441,ON,Toronto,Toronto,,240 Scarlett Rd,"1308 - 240 Scarlett Rd, Toronto, ON",Condo,2022-02-11,589900,1 bed,1 bath,,0.0,11.05,20.65,10.95,Central air conditioning,Forced air,,,,Balcony,,"240 Scarlett Rd , Toronto","(43.6756125, -79.50816042857143)",43.6756125,-79.50816042857143
W5498441,ON,Toronto,Toronto,,240 Scarlett Rd,"1308 - 240 Scarlett Rd, Toronto, ON",Condo,2022-02-11,589900,1 bed,1 bath,,0.0,11.05,20.65,10.95,Central air conditioning,Forced air,,,,Balcony,,"240 Scarlett Rd , Toronto","(43.6756125, -79.50816042857143)",43.6756125,-79.50816042857143
W5498423,ON,Toronto,Toronto,,166 A Silverthorn Ave,"166 A Silverthorn Ave, Toronto, ON",Single Family,2022-02-11,1450000,4 bed,2 bath,,7.82,9.4,10.25,14.42,Central air conditioning,Forced air,Detached garage,Full,,,,"166 A Silverthorn Ave , Toronto","(43.6828568, -79.4633272)",43.6828568,-79.4633272
W5498423,ON,Toronto,Toronto,,166 A Silverthorn Ave,"166 A Silverthorn Ave, Toronto, ON",Single Family,2022-02-11,1450000,4 bed,2 bath,,7.82,9.4,10.25,14.42,Central air conditioning,Forced air,Detached garage,Full,,,,"166 A Silverthorn Ave , Toronto","(43.6828568, -79.4633272)",43.6828568,-79.4633272
C5498626,ON,Toronto,Toronto,,144 A Woburn Ave,"144 A Woburn Ave, Toronto, ON",Single Family,2022-02-11,1895000,4 bed,4 bath,,12.28,12.71,18.31,8.89,Central air conditioning,Forced air,Garage,"Finished, N/A (Finished)",,,,"144 A Woburn Ave , Toronto","(43.727666, -79.4062543)",43.727666,-79.4062543
C5498626,ON,Toronto,Toronto,,144 A Woburn Ave,"144 A Woburn Ave, Toronto, ON",Single Family,2022-02-11,1895000,4 bed,4 bath,,12.28,12.71,18.31,8.89,Central air conditioning,Forced air,Garage,"Finished, N/A (Finished)",,,,"144 A Woburn Ave , Toronto","(43.727666, -79.4062543)",43.727666,-79.4062543
C5498335,ON,Toronto,Toronto,,11 Thorncliffe Park Dr,"303 - 11 Thorncliffe Park Dr, Toronto, ON",Condo,2022-02-11,495000,2 bed,1 bath,,12.19,23.96,23.96,8.35,Central air conditioning,Forced air,Underground,,,Wooded area,,"11 Thorncliffe Park Dr , Toronto","(43.7042977, -79.3487262)",43.7042977,-79.3487262
C5498335,ON,Toronto,Toronto,,11 Thorncliffe Park Dr,"303 - 11 Thorncliffe Park Dr, Toronto, ON",Condo,2022-02-11,495000,2 bed,1 bath,,12.19,23.96,23.96,8.35,Central air conditioning,Forced air,Underground,,,Wooded area,,"11 Thorncliffe Park Dr , Toronto","(43.7042977, -79.3487262)",43.7042977,-79.3487262
E5499323,ON,Toronto,Toronto,,140 Broadview Ave,"46 - 140 Broadview Ave, Toronto, ON",Townhome,2022-02-11,549900,1 bed,1 bath,,0.0,0.0,9.79,5.64,Central air conditioning,Forced air,Underground,,Storage - Locker,,,"140 Broadview Ave , Toronto","(43.659895564705884, -79.35045876470588)",43.659895564705884,-79.35045876470588
E5499323,ON,Toronto,Toronto,,140 Broadview Ave,"46 - 140 Broadview Ave, Toronto, ON",Townhome,2022-02-11,549900,1 bed,1 bath,,0.0,0.0,9.79,5.64,Central air conditioning,Forced air,Underground,,Storage - Locker,,,"140 Broadview Ave , Toronto","(43.659895564705884, -79.35045876470588)",43.659895564705884,-79.35045876470588
C5499483,ON,Toronto,Toronto,,115 Blue Jays Way,"1912 - 115 Blue Jays Way, Toronto, ON",Condo,2022-02-11,559900,0 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"115 Blue Jays Way , Toronto","(43.645507499999994, -79.3919735)",43.645507499999994,-79.3919735
C5499483,ON,Toronto,Toronto,,115 Blue Jays Way,"1912 - 115 Blue Jays Way, Toronto, ON",Condo,2022-02-11,559900,0 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"115 Blue Jays Way , Toronto","(43.645507499999994, -79.3919735)",43.645507499999994,-79.3919735
C5499268,ON,Toronto,Toronto,,87 Peter St,"3302 - 87 Peter St, Toronto, ON",Condo,2022-02-11,990000,2 bed,2 bath,,7.43,16.57,9.12,17.07,Central air conditioning,Forced air,Underground,,,Balcony,,"87 Peter St , Toronto","(43.6468429, -79.3924735)",43.6468429,-79.3924735
C5499268,ON,Toronto,Toronto,,87 Peter St,"3302 - 87 Peter St, Toronto, ON",Condo,2022-02-11,990000,2 bed,2 bath,,7.43,16.57,9.12,17.07,Central air conditioning,Forced air,Underground,,,Balcony,,"87 Peter St , Toronto","(43.6468429, -79.3924735)",43.6468429,-79.3924735
W5499297,ON,Toronto,Toronto,,330 Dixon Rd,"808 - 330 Dixon Rd, Toronto, ON",Condo,2022-02-11,379900,1 bed,1 bath,,0.0,5.6,0.0,5.6,,Water,,,,,,"330 Dixon Rd , Toronto","(43.69597315, -79.55305553555787)",43.69597315,-79.55305553555787
W5499297,ON,Toronto,Toronto,,330 Dixon Rd,"808 - 330 Dixon Rd, Toronto, ON",Condo,2022-02-11,379900,1 bed,1 bath,,0.0,5.6,0.0,5.6,,Water,,,,,,"330 Dixon Rd , Toronto","(43.69597315, -79.55305553555787)",43.69597315,-79.55305553555787
C5499626,ON,Toronto,Toronto,,297 College St,"503 - 297 College St, Toronto, ON",Condo,2022-02-11,850000,3 bed,2 bath,,8.42,0.0,23.64,23.64,Central air conditioning,Forced air,,,,,,"297 College St , Toronto","(43.657515593333336, -79.40141345333333)",43.657515593333336,-79.40141345333333
C5499626,ON,Toronto,Toronto,,297 College St,"503 - 297 College St, Toronto, ON",Condo,2022-02-11,850000,3 bed,2 bath,,8.42,0.0,23.64,23.64,Central air conditioning,Forced air,,,,,,"297 College St , Toronto","(43.657515593333336, -79.40141345333333)",43.657515593333336,-79.40141345333333
C5499746,ON,Toronto,Toronto,,297 College St,"#Ph11 -297 College St, Toronto, ON",Condo,2022-02-11,799000,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,Underground,,,Balcony,,"297 College St , Toronto","(43.657515593333336, -79.40141345333333)",43.657515593333336,-79.40141345333333
C5499831,ON,Toronto,Toronto,,800 Spadina Rd,"301 - 800 Spadina Rd, Toronto, ON",Condo,2022-02-11,649000,2 bed,1 bath,,9.3,23.94,23.94,7.41,Central air conditioning,Forced air,,,,,,"800 Spadina Rd , Toronto","(43.702062999999995, -79.41913739545454)",43.702062999999995,-79.41913739545454
C5498243,ON,Toronto,Toronto,,15 Grenville St,"5009 - 15 Grenville St, Toronto, ON",Condo,2022-02-11,799900,2 bed,1 bath,,7.83,0.0,0.0,0.0,,Forced Air,,,,,,"15 Grenville St , Toronto","(43.661820727272726, -79.38441163636364)",43.661820727272726,-79.38441163636364
C5498243,ON,Toronto,Toronto,,15 Grenville St,"5009 - 15 Grenville St, Toronto, ON",Condo,2022-02-11,799900,2 bed,1 bath,,7.83,0.0,0.0,0.0,,Forced Air,,,,,,"15 Grenville St , Toronto","(43.661820727272726, -79.38441163636364)",43.661820727272726,-79.38441163636364
W5498441,ON,Toronto,Toronto,,240 Scarlett Rd,"1308 - 240 Scarlett Rd, Toronto, ON",Condo,2022-02-11,589900,1 bed,1 bath,,0.0,11.05,20.65,10.95,Central air conditioning,Forced air,,,,Balcony,,"240 Scarlett Rd , Toronto","(43.6756125, -79.50816042857143)",43.6756125,-79.50816042857143
W5498441,ON,Toronto,Toronto,,240 Scarlett Rd,"1308 - 240 Scarlett Rd, Toronto, ON",Condo,2022-02-11,589900,1 bed,1 bath,,0.0,11.05,20.65,10.95,Central air conditioning,Forced air,,,,Balcony,,"240 Scarlett Rd , Toronto","(43.6756125, -79.50816042857143)",43.6756125,-79.50816042857143
W5498423,ON,Toronto,Toronto,,166 A Silverthorn Ave,"166 A Silverthorn Ave, Toronto, ON",Single Family,2022-02-11,1450000,4 bed,2 bath,,7.82,9.4,10.25,14.42,Central air conditioning,Forced air,Detached garage,Full,,,,"166 A Silverthorn Ave , Toronto","(43.6828568, -79.4633272)",43.6828568,-79.4633272
W5498423,ON,Toronto,Toronto,,166 A Silverthorn Ave,"166 A Silverthorn Ave, Toronto, ON",Single Family,2022-02-11,1450000,4 bed,2 bath,,7.82,9.4,10.25,14.42,Central air conditioning,Forced air,Detached garage,Full,,,,"166 A Silverthorn Ave , Toronto","(43.6828568, -79.4633272)",43.6828568,-79.4633272
C5498626,ON,Toronto,Toronto,,144 A Woburn Ave,"144 A Woburn Ave, Toronto, ON",Single Family,2022-02-11,1895000,4 bed,4 bath,,12.28,12.71,18.31,8.89,Central air conditioning,Forced air,Garage,"Finished, N/A (Finished)",,,,"144 A Woburn Ave , Toronto","(43.727666, -79.4062543)",43.727666,-79.4062543
C5498626,ON,Toronto,Toronto,,144 A Woburn Ave,"144 A Woburn Ave, Toronto, ON",Single Family,2022-02-11,1895000,4 bed,4 bath,,12.28,12.71,18.31,8.89,Central air conditioning,Forced air,Garage,"Finished, N/A (Finished)",,,,"144 A Woburn Ave , Toronto","(43.727666, -79.4062543)",43.727666,-79.4062543
C5498754,ON,Toronto,Toronto,,27 Bathurst St,"720w - 27 Bathurst St, Toronto, ON",Condo,2022-02-11,579000,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,,,,Balcony,,"27 Bathurst St , Toronto","(43.641411, -79.401552)",43.641411,-79.401552
C5498703,ON,Toronto,Toronto,,75 Queens Wharf Rd,"4506 - 75 Queens Wharf Rd, Toronto, ON",Condo,2022-02-11,998888,3 bed,2 bath,,9.12,35.41,35.41,35.41,Central air conditioning,Forced air,,,,Balcony,,"75 Queens Wharf Rd , Toronto","(43.63849825, -79.39799287066958)",43.63849825,-79.39799287066958
W5498609,ON,Toronto,Toronto,,2509 Dufferin St,"2509 Dufferin St, Toronto, ON",Single Family,2022-02-11,999999,4 bed,2 bath,,9.49,0.0,31.74,31.74,Central air conditioning,Forced air,,"N/A (Finished), Finished",,,,"2509 Dufferin St , Toronto","(43.7021743125, -79.4518913625)",43.7021743125,-79.4518913625
W5498457,ON,Toronto,Toronto,,31 Sergio Marchi St,"31 Sergio Marchi St, Toronto, ON",Townhome,2022-02-11,949999,3 bed,4 bath,,8.15,12.3,14.9,8.4,Central air conditioning,Forced air,Garage,,,,,"31 Sergio Marchi St , Toronto","(43.7307026, -79.5203164)",43.7307026,-79.5203164
W5498782,ON,Toronto,Toronto,,25 Earlington Ave,"118 - 25 Earlington Ave, Toronto, ON",Condo,2022-02-11,590000,2 bed,1 bath,,0.0,18.54,18.54,7.24,Central air conditioning,Forced air,,,,Balcony,,"25 Earlington Ave , Toronto","(43.6614275, -79.50774101036481)",43.6614275,-79.50774101036481
W5498623,ON,Toronto,Toronto,,3 Marine Parade Dr,"1509 - 3 Marine Parade Dr, Toronto, ON",Condo,2022-02-11,359000,2 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,,Underground,,Storage - Locker,Balcony,,"3 Marine Parade Dr , Toronto","(43.6302418, -79.4762234)",43.6302418,-79.4762234
W5499104,ON,Toronto,Toronto,,2315 Sheppard Ave W,"48 - 2315 Sheppard Ave W, Toronto, ON",Townhome,2022-02-11,699900,2 bed,2 bath,,13.11,17.59,17.59,6.03,Central air conditioning,Forced air,Underground,,,Balcony,,"2315 Sheppard Ave W , Toronto","(43.7382376, -79.5182113)",43.7382376,-79.5182113
C5499139,ON,Toronto,Toronto,,38 Joe Shuster Way,"2107 - 38 Joe Shuster Way, Toronto, ON",Condo,2022-02-11,795900,2 bed,2 bath,,7.92,30.81,30.81,30.81,Central air conditioning,Forced air,,,,Balcony,,"38 Joe Shuster Way , Toronto","(43.6404401, -79.42457159222741)",43.6404401,-79.42457159222741
C5499180,ON,Toronto,Toronto,,725 Don Mills Rd,"1201 - 725 Don Mills Rd, Toronto, ON",Condo,2022-02-11,399000,1 bed,1 bath,,0.0,6.88,18.23,6.94,,Baseboard heaters,Underground,,Storage - Locker,,,"725 Don Mills Rd , Toronto","(43.7114315, -79.333334909332)",43.7114315,-79.333334909332
C5499044,ON,Toronto,Toronto,,505 Richmond St W,"808 - 505 Richmond St W, Toronto, ON",Condo,2022-02-11,739999,1 bed,1 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,Underground,,,Balcony,,"505 Richmond St W , Toronto","(43.647269, -79.39923)",43.647269,-79.39923
W5499088,ON,Toronto,Toronto,,30 Anglesey Blvd,"204 - 30 Anglesey Blvd, Toronto, ON",Condo,2022-02-11,975000,2 bed,2 bath,,11.32,15.33,45.69,17.92,Central air conditioning,Forced air,,,,Balcony,,"30 Anglesey Blvd , Toronto","(43.66375185, -79.5226444105337)",43.66375185,-79.5226444105337
W5499255,ON,Toronto,Toronto,,330 Dixon Rd,"1608 - 330 Dixon Rd, Toronto, ON",Condo,2022-02-11,379900,1 bed,1 bath,,0.0,5.6,0.0,5.6,,Water,,,,,,"330 Dixon Rd , Toronto","(43.69597315, -79.55305553555787)",43.69597315,-79.55305553555787
C5499375,ON,Toronto,Toronto,,50 Power St,"920 - 50 Power St, Toronto, ON",Condo,2022-02-11,829900,1 bed,2 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,Underground,,,Balcony,,"50 Power St , Toronto","(43.65440245, -79.36298765)",43.65440245,-79.36298765
C5499488,ON,Toronto,Toronto,,55 Bloor St E,"808 - 55 Bloor St E, Toronto, ON",Condo,2022-02-11,720000,2 bed,2 bath,,5.92,7.39,10.72,5.54,Central air conditioning,Forced air,Underground,,,Balcony,,"55 Bloor St E , Toronto","(43.6703095, -79.3853991)",43.6703095,-79.3853991
W5499300,ON,Toronto,Toronto,,25 Viking Lane,"2746 - 25 Viking Lane, Toronto, ON",Condo,2022-02-11,1044000,3 bed,3 bath,,10.86,7.92,20.71,12.69,Central air conditioning,Heat Pump,Underground,,,Balcony,,"25 Viking Lane , Toronto","(43.63853760000001, -79.53564985)",43.63853760000001,-79.53564985
